abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.5994,1.9612,192.168.93.59,192.168.93.59,6,44481,80,44,40,64,2,SYN,8192,5963,0,,,0,44,1,0,0,0,0,1,0,1,0,0,0
1773306142.5996,1.9614,192.168.93.59,192.168.93.59,6,80,44481,44,40,64,20,RST|ACK,0,0,5964,,,0.00017404556274414062,88,2,1,0,1,0,0,1,1,0,1,0
1773306142.5997,1.9615,192.168.93.59,192.168.93.59,6,58622,80,44,40,64,2,SYN,8192,3984,0,,,0,44,1,2,1,1,0.5,0.5,0.5,1,0,0,0
1773306142.5998,1.9616,192.168.93.59,192.168.93.59,6,80,58622,44,40,64,20,RST|ACK,0,0,3985,,,0.00010800361633300781,88,2,3,0,1,0.3333,0,1,1,0,1,0
1773306143,1.9618,192.168.93.59,192.168.93.59,6,50616,80,44,40,64,2,SYN,8192,2418,0,,,0,44,1,4,2,1,0.5,0.5,0.5,1,0,0,0
1773306142.6001,1.9619,192.168.93.59,192.168.93.59,6,80,50616,44,40,64,20,RST|ACK,0,0,2419,,,0.00010800361633300781,88,2,5,0,1,0.4,0,1,1,0,1,0
1773306142.6003,1.9621,192.168.93.59,192.168.93.59,6,51892,80,44,40,64,2,SYN,8192,5904,0,,,0,44,1,6,3,1,0.5,0.5,0.5,1,0,0,0
1773306142.6004,1.9622,192.168.93.59,192.168.93.59,6,80,51892,44,40,64,20,RST|ACK,0,0,5905,,,0.00010323524475097656,88,2,7,0,1,0.4286,0,1,1,0,1,0
1773306142.6006,1.9624,192.168.93.59,192.168.93.59,6,46816,80,44,40,64,2,SYN,8192,4436,0,,,0,44,1,8,4,1,0.5,0.5,0.5,1,0,0,0
1773306142.6007,1.9625,192.168.93.59,192.168.93.59,6,80,46816,44,40,64,20,RST|ACK,0,0,4437,,,0.00010514259338378906,88,2,9,0,1,0.4444,0,1,1,0,1,0
1773306143,1.9628,192.168.93.59,192.168.93.59,6,58982,80,44,40,64,2,SYN,8192,5081,0,,,0,44,1,10,5,1,0.5,0.5,0.5,1,0,0,0
