abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773303192.1418,0.0,127.0.0.1,127.0.0.1,6,10808,61244,88,84,64,24,PSH|ACK,6323,1261493225,3466213610,,,0.0,88,1,0,0,0.0,0.0,1.0,0.0,0,0,0,1
1773303192.1425,0.0007,127.0.0.1,127.0.0.1,6,61244,10808,56,52,64,16,ACK,6276,3466213610,1261493257,,,0.0007131099700927734,144,2,1,0,0.0,0.0,0.0,1.0,0,0,0,1
1773303192.3397,0.1979,127.0.0.1,127.0.0.1,6,61298,10808,68,64,64,2,SYN,65535,2648342729,0,,,0.0,68,1,2,1,0.0,0.0,0.5,0.5,1,0,0,0
1773303192.3406,0.1988,127.0.0.1,127.0.0.1,6,10808,61298,68,64,64,18,SYN|ACK,65535,1706602554,2648342730,,,0.0009212493896484375,136,2,3,0,0.3333,0.0,0.0,1.0,2,0,0,0
1773303192.3412,0.1993,127.0.0.1,127.0.0.1,6,61298,10808,56,52,64,16,ACK,6380,2648342730,1706602555,,,0.001444101333618164,192,3,4,2,0.5,0.0,0.5,0.5,2,0,0,0
1773303192.3416,0.1998,127.0.0.1,127.0.0.1,6,10808,61298,56,52,64,16,ACK,6380,1706602555,2648342730,,,0.001911163330078125,248,4,5,1,0.6,0.0,0.2,0.8,2,0,0,0
1773303192.3421,0.2003,127.0.0.1,127.0.0.1,6,61298,10808,352,348,64,24,PSH|ACK,6380,2648342730,1706602555,,,0.002418041229248047,600,5,6,3,0.6667,0.0,0.5,0.5,2,0,0,1
1773303192.3425,0.2007,127.0.0.1,127.0.0.1,6,10808,61298,56,52,64,16,ACK,6376,1706602555,2648343026,,,0.002766132354736328,656,6,7,2,0.5714,0.0,0.2857,0.7143,2,0,0,1
1773303192.3429,0.2011,127.0.0.1,127.0.0.1,6,10808,61298,95,91,64,24,PSH|ACK,6376,1706602555,2648343026,,,0.0032351016998291016,751,7,8,3,0.5,0.0,0.375,0.625,2,0,0,2
1773303192.3433,0.2015,127.0.0.1,127.0.0.1,6,61298,10808,56,52,64,16,ACK,6380,2648343026,1706602594,,,0.0035610198974609375,807,8,9,4,0.4444,0.0,0.4444,0.5556,2,0,0,2
1773303192.3437,0.2018,127.0.0.1,127.0.0.1,6,61298,10808,1925,1921,64,24,PSH|ACK,6380,2648343026,1706602594,,,0.003940105438232422,2732,9,10,5,0.4,0.0,0.5,0.5,2,0,0,3
1773303192.344,0.2022,127.0.0.1,127.0.0.1,6,10808,61298,56,52,64,16,ACK,6347,1706602594,2648344895,,,0.004248142242431641,2788,10,11,4,0.3636,0.0,0.3636,0.6364,2,0,0,3
